Bochum.UTCModJulian       MareCrisium.BochumTopo.X   MareCrisium.BochumTopo.Y   MareCrisium.BochumTopo.Z   MareCrisium.BochumTopo.VX   MareCrisium.BochumTopo.VY   MareCrisium.BochumTopo.VZ   MareCrisium.DwingelooTopo.X   MareCrisium.DwingelooTopo.Y   MareCrisium.DwingelooTopo.Z   MareCrisium.DwingelooTopo.VX   MareCrisium.DwingelooTopo.VY   MareCrisium.DwingelooTopo.VZ   Bochum.MareCrisiumTopo.X   Bochum.MareCrisiumTopo.Y   Bochum.MareCrisiumTopo.Z   
30736.8125                -32929.38544552414         358833.4939477215          20576.67522481145          19.39433565443162           0.5758563985448251          16.11583984048385           -36240.11204110035            358674.750902949              18351.32915391792             19.76992516671643              0.9261470876753691             15.63599917840405              59992.5795522152           -317923.2762549218         159984.0653998533          
30736.81261574074         -32735.44066715118         358839.1639205163          20737.83474818823          19.39461913499465           0.5581383561246805          16.11606134003338           -36042.41036019566            358683.9238163843             18507.6909799856              19.7704100428903               0.9084357551875428             15.63636256123769              59993.90005651845          -317920.1564514627         159983.4944823278          
30736.81273148148         -32541.49310873066         358844.6567116106          20898.99644268333          19.3948928778134            0.540420094870548           16.11627507301467           -35844.7038863124             358692.9196142436             18664.05639735578             19.77088499980344              0.8907240307973161             15.63671841773005              59995.22076972935          -317917.0374527838         159982.9217715668          
30736.81284722222         -32347.5428554703          358849.9723192002          21060.16024074418          19.39515688280402           0.5227016224295657          16.11648103936059           -35646.99270623804            358701.7382932116             18820.42534057682             19.77135003728576              0.8730119221495998             15.63706674775181              59996.54169190767          -317913.9192601421         159982.3472677851          
30736.81296296296         -32153.59001696001         358855.1107408851          21221.32605455809          19.39541114985346           0.5049829486762958          16.11667923898128           -35449.27693161582            358710.3798489369             18976.79772453924             19.77180515511273              0.8552994391159907             15.63740755113294              59997.86282325324          -317910.8018746639         159981.7709721822          
30736.8130787037          -31959.63467837631         358860.0719750164          21382.49381659712          19.39565567888641           0.487264081255057           16.11686967181641           -35251.55664920308            358718.8442782608             19133.17348381397             19.77225035312302              0.8375865893387304             15.63774082775074              59999.18416373349          -317907.6852977619         159981.1928847003          
30736.81319444444         -31765.67694927881         358864.8560193939          21543.66343907263          19.39589046980081           0.4695450300376567          16.11705233778488           -35053.83197061444            358727.1315770319             19289.55253331313             19.77268563110333              0.8198733826868629             15.63806657744371              60000.50571345589          -317904.5695307179         159980.6130062666          
30736.81331018519         -31571.71686836533         358869.4628813592          21704.83479366522          19.39611552303152           0.451825802890198           16.11722723720783           -34856.10293771108            358735.2417510588             19445.93474563502             19.77311098940903              0.8021598270332393             15.63838480045625              60001.82747286544          -317901.454575344          159980.031338254           
30736.81342592593         -31377.75463212499         358873.8925413673          21866.00791918062          19.39633083749029           0.4341064086900303          16.11739436926835           -34658.3697457603             358743.1747790003             19602.32016449553             19.77352642683431              0.7844459312354457             15.63869549592354              60003.14944142332          -317898.3404315664         159979.4478795153          
30736.81354166667         -31183.79029751712         358878.1450065034          22027.18267212416          19.39653641360047           0.4163868569715443          16.1175537342788            -34460.63245524166            358750.9306660782             19758.70864776712             19.7739319437043               0.7667317048342647             15.63899866406749              60004.47161938071          -317895.2271016078         159978.8626312728          
30736.81365740741         -30989.82394975597         358882.2202754945          22188.35898493853          19.39673225130745           0.3986671553823408          16.11770533219536           -34262.89115295507            358758.509409509              19915.10012998916             19.77432753987872              0.7490171554755793             15.63929430478139              60005.7940070727           -317892.114586252          159978.2755945692          
30736.81377314815         -30795.85569841182         358886.1183466381          22349.53676982602          19.39691835053652           0.3809473137951279          16.11784916295876           -34065.14595053156            358765.9110056387             20071.49452606076             19.77471321517214              0.7313022930298212             15.63958241792485              60007.11660432982          -317889.0028872496         159977.6867695146          
30736.81388888889         -30601.88562865203         358889.8392188152          22510.71595926673          19.39709471124149           0.3632273398532612          16.11798522653191           -33867.39693472497            358773.1354518384             20227.89177055626             19.7750889694529               0.7135871251387873             15.63986300339772              60008.43941148683          -317885.8920053829         159977.0961571526          
30736.81400462963         -30407.91385008738         358893.3828905196          22671.89646543068          19.39726133335851           0.3455072434330434          16.11811352286415           -33669.64421720974            358780.1827446502             20384.29177834182             19.77545480254658              0.6958716616766919             15.64013606106797              60009.76242837407          -317882.7819424021         159976.5037575957          
30736.81412037037         -30213.94040136188         358896.749369643           22833.0781600502           19.39741821735311           0.3277870323952258          16.11823405230103           -33471.88783979815            358787.0528904336             20540.69442206156             19.77581071483988              0.6781559105115758             15.64040159120372              60011.0856554316           -317879.6727001162         159975.9095722221          
30736.81423611111         -30019.96548510821         358899.9386371645          22994.26107681027          19.39756536216586           0.3100667161790166          16.1183468140489            -33274.12800402819            358793.74586826               20697.09974045669             19.77615670515009              0.6604398810633589             15.64065959295793              60012.40909227757          -317876.5642782197         159975.3136004802          
30736.81435185185         -29825.98914002335         358902.9507011267          23155.44508740108          19.39770276827056           0.2923463026498982          16.11845180845986           -33076.36475176776            358800.2616846391             20853.50760612915             19.77649277387226              0.6427235812049525             15.64091006660509              60013.7327392605           -317873.4566786783         159974.7158434761          
30736.81446759259         -29632.01146957907         358905.7855605045          23316.63010909262          19.39783043562889           0.2746258011233347          16.11854903550352           -32878.59818843671            358806.6003367049             21009.91793889078             19.77681892086424              0.625007020250245              15.64115301203748              60015.05659633617          -317870.349902998          159974.1163015586          
30736.81458333333         -29438.03257722636         358908.4432143785          23477.81605917197          19.39794836420831           0.2569052209128843          16.11863849515408           -32680.82841943489            358812.7618216975             21166.33065856898             19.77713514598973              0.6072902075113191             15.64138842915186              60016.38066373625          -317867.2439522136         159973.5149758999          
30736.81469907408         -29244.05254819641         358910.9236621696          23639.00287006765          19.39805655399236           0.2391845696675678          16.11872018739814           -32483.05553158716            358818.7461375263             21322.7456996835              19.77744144914731              0.5895731506361591             15.64161631787101              60017.7049414266           -317864.1388277332         159972.9118664533          
30736.81481481481         -29050.07149207279         358913.2269030593          23800.19045397182          19.39815500495495           0.2214638572610937          16.11879411221522           -32285.27963654789            358824.5532814214             21479.16297711628             19.77773783020108              0.5718558594970645             15.64183667809212              60019.02942951248          -317861.0345308329         159972.3069741601          
30736.81493055556         -28856.08944745011         358915.3529454902          23961.37868266498          19.3982437175924            0.203743091549255           16.1188602699753            -32087.50077608479            358830.1832602945             21635.58236355373             19.77802428956914              0.554138341957663              15.64204951010707              60020.35412833712          -317857.9310634762         159971.70030013            
30736.81504629629         -28662.10661708047         358917.3017711031          24122.56758971915          19.39832269088076           0.1860222819827086          16.1189186599132            -31889.71915186541            358835.6360538763             21792.00389762142             19.77830082610483              0.536420607449946              15.64225481309634              60021.67903752564          -317854.8284253545         159971.0918438184          
30736.81516203704         -28468.12303956349         358919.0733884916          24283.75704691094          19.39839192532459           0.1683014364176618          16.11896928240545           -31691.93480566426            358840.9116692289             21948.42745200084             19.77856744023462              0.518702663838106              15.64245258735814              60023.00415742156          -317851.7266184305         159970.4816063365          
30736.81527777778         -28274.13881840419         358920.6677972818          24444.9469714839           19.39845142092135           0.1505805641724531          16.11901213745021           -31494.14784294234            358846.0101041371             22104.85294647258             19.77882413185278              0.5009845204395378             15.64264283281241              60024.32948797975          -317848.6256442078         159969.8695880402          
30736.81539351852         -28080.15405707859         358922.0849972063          24606.13728070516          19.3985011776744            0.1328596745627535          16.11904722505031           -31296.35836913215            358850.9313564926             22261.28030083928             19.7790709008596               0.4832661865690755             15.64282554938367              60025.65502943088          -317845.5255037182         159969.255790108           
30736.81550925926         -27886.16884077802         358923.3249882217          24767.32790703492          19.39854119559672           0.1151387752339113          16.11907454521584           -31098.56647102397            358855.6754247411             22417.70944964694             19.77930774718366              0.4655476698715555             15.64300073701745              60026.98078173984          -317842.4261983671         159968.6402124987          
30736.815625              -27692.1832790947          358924.3877702006          24928.51876265862          19.39857147470021           0.09741787606027669         16.11909409795661           -30900.7722602885             358860.2423068034             22574.14030776512             19.77953467072779              0.447828980220591              15.64316839564033              60028.30674501092          -317839.3277294273         159968.0228561606          
30736.81574074074         -27498.1974106196          358925.273352134           25089.70971936844          19.39859201551185           0.07969698489679111         16.11910588366697           -30702.97577869572            358864.6320101398             22730.57274788724             19.77975167194131              0.4301101254795061             15.64332852556782              60029.63291958246          -317836.2300988605         159967.4037222089          
30736.81585648148         -27304.21143811887         358925.9817163272          25250.90081070743          19.39860281704327           0.06197611119609253         16.11910990161025           -30505.17722793516            358868.8445151449             22887.0068086047              19.7799587497138               0.4123911150829059             15.64348112600802              60030.95930508647          -317833.1333063539         159966.7828101056          
30736.81597222222         -27110.22540021144         358926.5128719218          25412.09190844566          19.39860387982965           0.04425526281560777         16.11910615218737           -30307.37664980703            358872.879829429              23043.44236258824             19.78015590450293              0.3946719568967433             15.64362619728274              60032.28590186168          -317830.0373538687         159966.1601209679          
30736.81608796296         -26916.23940646355         358926.8668191885          25573.28292478903          19.3985952039048            0.02653444962728274         16.11909463542559           -30109.5741559599             358876.7379513113             23199.87932472391             19.78034313623387              0.3769526607926203             15.64376373933551              60033.61270982765          -317826.942242989          159965.5356551997          
30736.8162037037          -26722.25354206753         358927.043558538           25734.47379219739          19.39857678930668           0.008813679276446773        16.11907535135492           -29911.76983319012            358880.4188796921             23356.31762955355             19.78052044486065              0.3592332344157954             15.6438937521312               60034.93972922466          -317823.8479746478         159964.9094135865          
30736.81631944445         -26528.26791052772         358927.0430904331          25895.66442791515          19.39854863607878           -0.008907038918801402       16.1190483000102            -29713.96378696716            358883.9226131922             23512.75719685163             19.78068783032442              0.3415136870842444             15.6440162356253               60036.26696019022          -317820.7545500307         159964.2813970405          
30736.81643518518         -26334.28261529148         358926.8654154501          26056.85474923164          19.39851074427083           -0.02662769564548562        16.11901348143126           -29516.15612270373            358887.2491505476             23669.19794643519             19.78084529257275              0.3237940281109296             15.64413118977821              60037.59440258564          -317817.6619707932         159963.6516056526          
30736.81655092593         -26140.29769494428         358926.5105431272          26218.04462795253          19.39846311444032           -0.0443482830497009         16.11897089603674           -29318.34688216999            358890.3984997653             23825.63975100642             19.7809928320861               0.3060742653586818             15.64423861492895              60038.92205683641          -317814.5702387374         159963.0200408176          
30736.81666666667         -25946.31335231846         358925.9784564349          26379.23409755008          19.39840574563459           -0.06206879167212409        16.11892054311857           -29120.53626713078            358893.3706419042             23982.08264908195             19.78113044779032              0.2883544082694229             15.64433851031333              60040.24992248949          -317811.4793537046         159962.3867017307          
30736.81678240741         -25752.32962598015         358925.2691650611          26540.42302984577          19.39833863841929           -0.07978921366062636        16.1188624231019            -28922.72431933821            358896.1655851215             24138.5265133781              19.78125814017422              0.2706344647043522             15.64443087627669              60041.57800006275          -317808.3893173394         159961.7515900622          
30736.81689814815         -25558.34662549195         358924.3826699687          26701.61133704818          19.39826179286632           -0.09750953914369817        16.11879653604437           -28724.91115044495            358898.7833284287             24294.97125877759             19.78137590920175              0.2529144445353115             15.64451571279199              60042.90628938269          -317805.3001313799         159961.1147059491          
30736.81701388889         -25364.36443606604         358923.3189721027          26862.79895160152          19.398175209043             -0.1152297604743417         16.11872288199941           -28527.09684727341            358901.22387126               24451.41681980268             19.78148375485686              0.2351943554097569             15.64459301984678              60044.23479078069          -317802.2117965994         159960.4760504561          
30736.81712962963         -25170.38316116986         358922.0780725817          27023.98579077912          19.39807888702891           -0.1329498683378812         16.11864146103063           -28329.28151526271            358903.4872128926             24607.86311625039             19.78158167711749              0.2174742066428685             15.6446627974245               60045.56350411722          -317799.124314651          159959.8356236801          
30736.81724537037         -24976.4029042789          358920.6599726299          27185.17177184839          19.39797282690938           -0.1506698534189484         16.11855227320627           -28131.46525986144            358905.5733527099             24764.31006791102             19.78166967596749              0.1997540075506426             15.64472504551304              60046.89242952864          -317796.0376867168         159959.1934265408          
30736.81736111111         -24782.42370393068         358919.0646823358          27346.35676666195          19.39785702927265           -0.168389707868479          16.1184553189694            -27933.64812279684            358907.4822992702             24920.75754752791             19.78174775191866              0.182033765991619              15.64477976447516              60048.22156734351          -317792.9519147535         159958.5494601642          
30736.81747685185         -24588.44576300668         358917.2921853325          27507.54080863524          19.39773149320157           -0.1861094222220044         16.11835059764043           -27735.83030589148            358909.2140342936             25077.20559355658             19.781815903933                0.1643134914134887             15.6448269535742               60049.55091720775          -317789.8669984417         159957.9037240264          
30736.81759259259         -24394.46912001513         358915.3424918607          27668.72376964437          19.39759621929265           -0.2038289886331194         16.11823810966905           -27538.0118508444             358910.7685664912             25233.65407876185             19.78187413253082              0.1465931916722835             15.64486661317936              60050.88047935828          -317786.7829398938         159957.2562189808          
30736.81770833333         -24200.49388456249         358913.2156035691          27829.90556186358          19.39745120765547           -0.221548397226521          16.11811785514295           -27340.19286936058            358912.1458955597             25390.10291798745             19.78192243771444              0.1288728766443002             15.6448987432927               60052.21025398869          -317783.6997402179         159956.6069462678          
30736.81782407407         -24006.52014182115         358910.9115219429          27991.08611776805          19.39729645838712           -0.2392676403588684         16.11798983413929           -27142.37344822784            358913.3460214738             25546.55204578114             19.78196081949815              0.1111525539738659             15.6449233439248               60053.54024106134          -317780.6174008121         159955.9559058615          
30736.81793981481         -23812.5480013382          358908.4302488294          28152.26534957939          19.39713197160808           -0.2569867081602383         16.11785404675446           -26944.55369909279            358914.36894413               25703.00137703086             19.78198927789544              0.09343223353209745            15.6449404150862               60054.87044067743          -317777.5359229393         159955.3030987299          
30736.81805555556         -23618.57754833377         358905.7717858646          28313.443189735            19.39695774742372           -0.2747055929830299         16.11771049307222           -26746.73370879368            358915.2146636527             25859.45084624647             19.78200781292901              0.07571192296772539            15.64494995679384              60056.20085298318          -317774.4553076838         159954.6485253967          
30736.8181712963          -23424.60883959181         358902.9361439272          28474.6194949333           19.39677378646881           -0.2924242853118653         16.11755917357314           -26548.91353767199            358915.8831890611             26015.90031145731             19.78201642513965              0.05799163180627037            15.64495196943285              60057.53147819945          -317771.3755572522         159953.9921871224          
30736.81828703704         -23230.64207188978         358899.9233072338          28635.79430364375          19.39658008785649           -0.3101427762391234         16.11740008760178           -26351.09338133305            358916.3745027686             26172.34981601855             19.78201511352641              0.0402713689391761             15.64494645229465              60058.8623160133           -317768.2966712363         159953.3340833462          
30736.81840277778         -23036.67728377435         358896.733286574           28796.96748772065          19.39637665221394           -0.327861057915473          16.1172332356322            -26153.27328152097            358916.6886140348             26328.79923266944             19.78200387864075              0.02255114222594212            15.64493340577202              60060.19336665682          -317765.2186517475         159952.6742149277          
30736.81851851852         -22842.71458480974         358893.3660842885          28958.13895937183          19.39616347968879           -0.3455791204695436         16.11705861778245           -25955.45334990526            358916.8255232489             26485.24847628058             19.78198272052385              0.004830961539608103           15.6449128298965               60061.52463023052          -317762.1415000468         159952.01258284            
30736.81863425926         -22648.75406014642         358889.8217023934          29119.30865109048          19.3959405704073            -0.3632969562600806         16.11687623415296           -25757.63367325734            358916.7852309173             26641.69748141264             19.78195163921972              -0.01288916547706626           15.64488472470122              60062.85610697185          -317759.0652170589         159951.3491878843          
30736.81875               -22454.79581936044         358886.1001434317          29280.47647507452          19.39570792452823           -0.3810145554146665         16.11668608487063           -25559.81436326099            358916.567737631              26798.1461629248              19.78191063478085              -0.03060922894979129           15.64484909022631              60064.18779670501          -317755.9898045146         159950.6840302139          
30736.81886574074         -22260.8399476235          358882.2014095724          29441.64236380019          19.39546554218624           -0.3987319102901601         16.11648817004261           -25361.99550671103            358916.1730440486             26954.59445536006             19.78185970725983              -0.04832922123377165           15.64480592651139              60065.51969966727          -317752.9152633382         159950.0171106316          
30736.81898148148         -22066.88650201734         358878.1255123478          29602.80617394108          19.39521342405253           -0.4164490113540691         16.11628249017829           -25164.17716425446            358915.6011598389             27111.04221672471             19.78179885723437              -0.0660491327857341            15.64475523396937              60066.85181611475          -317749.8415957309         159949.3484304021          
30736.81909722222         -21872.93567874204         358873.8724366243          29763.96794400182          19.39495156927503           -0.4341658497317473         16.11606904465038           -24966.35953092581            358914.8520680724             27267.48949038956             19.78172808373931              -0.0837689547465745            15.64469701191928              60068.18414566099          -317746.7688012866         159948.677988976           
30736.81921296296         -21678.98751660245         358869.442193726           29925.12754584362          19.39467997851076           -0.4518824175602965         16.11584783395657           -24768.54264873296            358913.9257785396             27423.93614910261             19.78164738735641              -0.1014886792427088            15.64463126077665              60069.51668866549          -317743.6968819544         159948.0057874898          
30736.8193287037          -21485.04212513466         358864.8347866868          30086.28489169636          19.39439865194551           -0.4695987049709768         16.11561885824531           -24570.72662932452            358912.8222923242             27580.38210774992             19.78155676816571              -0.1192082964030443            15.64455798060253              60070.84944504355          -317740.6258393053         159947.3318263755          
30736.81944444445         -21291.09958951896         358860.0502180588          30247.43991402951          19.39410758973498           -0.4873147043199642         16.11538211764051           -24372.91155950815            358911.5416104668             27736.82730086472             19.78145622624123              -0.1369277985817299            15.64447717145279              60072.18241503192          -317737.5556742619         159946.6561064397          
30736.81956018518         -21097.16001931217         358855.0884910726          30408.59252505665          19.39380679207575           -0.5050304057367143         16.11513761229928           -24175.09755095574            358910.0837342475             27893.27164331563             19.78134576167401              -0.1546471759056755            15.64438883339682              60073.51559863762          -317734.4863882384         159945.9786283907          
30736.81967592593         -20903.22349964311         358849.9496084335          30569.74265728804          19.39349625913199           -0.5227458015820453         16.11488534235222           -23977.28469042423            358908.448664861              28049.71506967409             19.78122537454672              -0.1723664207335228            15.64429296649706              60074.84899600509          -317731.4179823124         159945.2993927624          
30736.81979166666         -20709.29009335922         358844.6335825204          30730.89016240047          19.39317599162274           -0.5404608817877674         16.11462530834716           -23779.47304445435            358906.6364127176             28206.15743308373             19.7810950654799               -0.1900855229854981            15.64418957119915              60076.18260731071          -317728.3504587687         159944.6184008724          
30736.81990740741         -20515.35997906169         358839.1403982941          30892.03509393472          19.39284598869764           -0.5581756391052544         16.11435750965759           -23581.66279012611            358904.6469613028             28362.59879151957             19.78095483352815              -0.2078044754283385            15.64407864683651              60077.51643226678          -317725.2838170988         159943.9356517678          
30736.82002314815         -20321.43321346871         358833.4700681451          31053.17730866002          19.39250625107544           -0.5758900640262072         16.11408194683089           -23383.85398773044            358902.4803211488             28519.03900306746             19.78080467931789              -0.225523268542113             15.64396019385908              60078.8504712684           -317722.2180591889         159943.2511472718          
30736.82013888889         -20127.50990000848         358827.6225956297          31214.31672388104          19.39215677896971           -0.5936041472399334         16.11379862003756           -23186.04674269344            358900.1364939708             28675.47798753433             19.78064460296365              -0.2432418930132327            15.6438342123539               60080.18472417222          -317719.1531866795         159942.5648875056          
30736.82025462963         -19933.59012385017         358821.5979838347          31375.45327207612          19.39179757256563           -0.6113178811037141         16.11350752942502           -22988.24114181744            358897.6154813458             28831.91567945744             19.7804746045695               -0.260960341196422             15.64370070239968              60081.51919121413          -317716.0892004913         159941.8768732813          
30736.82037037037         -19739.67399451893         358815.3962366816          31536.58686548406          19.39142863209772           -0.6290312557499715         16.1132086751806            -22790.43729674971            358894.9172852439             28988.35199372406             19.78029468426516              -0.2786786032208886            15.64355966409513              60082.85387240005          -317713.0261020341         159941.1871053139          
30736.82048611111         -19545.76155710619         358809.0173650927          31697.7173847342           19.39104995819899           -0.646744263370614          16.11290205778655           -22592.63525556655            358892.0419150624             29144.78681200309             19.78010484260859              -0.2963966712682397            15.6434110978414               60084.18876801603          -317709.9638931312         159940.4955846638          
30736.82060185185         -19351.85300127326         358802.4613578269          31858.84484577798          19.39066155023634           -0.6644568944306197         16.1125876767829            -22394.83520735307            358888.989357639              29301.22015492852             19.77990507885027              -0.3141145358152356            15.64325500311396              60085.52387769027          -317706.9025738543         159939.8023107323          
30736.82071759259         -19157.94837207312         358795.7282259541          32019.96912927588          19.39026340885079           -0.6821691411253914         16.11226553265831           -22197.03720014813            358885.7596225188             29457.65190419822             19.77969539355638              -0.3318321890468364            15.64309138032018              60086.85920189304          -317703.8421457119         159939.1072851291          
30736.82083333334         -18964.04777296938         358788.8179735742          32181.09015250441          19.38985553428585           -0.6998809941411646         16.1119356256071            -21999.24133941993            358882.3527119607             29614.08197958718             19.77947578687192              -0.3495496216458459            15.64292022957023              60088.1947404802           -317700.7826103429         159938.4105079811          
