0,0,0,0
0,0,0,0
0,0,0,137107.60999999999
2944845,-128132,6249649,137167.64000000001
2539263,-260942,6419655,137227.64000000001
2121574,-389022,6561771,137287.64000000001
1693645,-511717,6675400,137347.64000000001
1257375,-628467,6760070,137407.64000000001
814674,-738630,6815297,137467.64000000001
367495,-841651,6840816,137527.64000000001
-82116,-937167,6836642,137587.64000000001
-532167,-1024697,6802705,137647.64000000001
-980649,-1103861,6739140,137707.64000000001
-1425539,-1174340,6646204,137767.64000000001
-1864844,-1235863,6524296,137827.64000000001
-2296568,-1288222,6373918,137887.64000000001
-2718756,-1331261,6195719,137947.64000000001
-3129483,-1364883,5990450,138007.64000000001
-3526878,-1389047,5758995,138067.64000000001
-3909130,-1403764,5502350,138127.64000000001
-4274478,-1409110,5221619,138187.64000000001
-4621251,-1405212,4918025,138247.64000000001
-4947844,-1392257,4592880,138307.64000000001
-5252740,-1370476,4247599,138367.64000000001
-5534539,-1340160,3883688,138427.64000000001
-5791910,-1301645,3502724,138487.64000000001
-6023668,-1255317,3106385,138547.64000000001
-6228715,-1201602,2696403,138607.64000000001
-6406096,-1140967,2274573,138667.64000000001
-6554961,-1073931,1842745,138727.64000000001
-6674600,-1001028,1402814,138787.64000000001
-6764449,-922850,956723,138847.64000000001
-6824070,-839985,506424,138907.64000000001
-6851588,-662741,-398864,139027.64000000001
-6819297,-569664,-849888,139087.64000000001
-6756466,-474529,-1297155,139147.64000000001
-6663323,-378003,-1738736,139207.64000000001
-6540308,-280777,-2172691,139267.64000000001
-6387951,-183536,-2597110,139327.64000000001
-6206933,-86945,-3010147,139387.64000000001
-5998080,8317,-3409993,139447.64000000001
-5762337,101592,-3794912,139507.64000000001
-5500755,192257,-4163228,139567.64000000001
-5214520,279683,-4513342,139627.64000000001
-4904924,363293,-4843751,139687.64000000001
-4573363,442522,-5153018,139747.64000000001
-4221330,516853,-5439819,139807.64000000001
-3850417,585780,-5702875,139867.64000000001
-3462282,648855,-5941177,139927.64000000001
-3058676,705662,-6153637,139987.64000000001
-2641405,755833,-6339332,140047.64000000001
-2212340,799044,-6497510,140107.64000000001
-1773396,835018,-6627478,140167.64000000001
-1326537,863519,-6728724,140227.64000000001
-873756,884372,-6800819,140287.64000000001
-417070,897444,-6843472,140347.64000000001
41489,902656,-6856505,140407.64000000001
499882,899976,-6839875,140467.64000000001
956074,889437,-6793681,140527.64000000001
