1998EE3,0.583863,3.4953
1998QA62,0.745198,3.5979
1998DX11,0.606086,3.9877
1998OP4,0.535951,3.4571
1998FG12,0.58044,3.5427
1998FM9,0.444576,3.3017
1998XN17,0.210106,1.189
1998WB2,0.587676,3.1359
1998GC1,0.292672,1.8631
1998GL10,0.668253,5.2928
1998HN3,0.618612,5.0295
1998SL36,0.418419,1.9729
1998MS2,0.402317,2.429
1998VS,0.277155,1.7875
1998SH2,0.714231,4.7022
1998EP4,0.441098,2.248
1998UR,0.378592,2.2758
1998WY1,0.356869,2.1913
1998US18,0.67664,4.3696
1998XD12,0.623678,2.2698
1999PS3,0.488118,3.0392
1999FJ21,0.274603,1.6242
1999AM10,0.512737,2.7193
1999AO10,0.11078,1.0131
1999NW2,0.108722,1.2376
1999TM12,0.466415,2.3397
1999LD6,0.488748,2.7026
1999VN11,0.547606,3.7834
1999EO3,0.603454,4.2846
1999VW25,0.111409,1.033
1999RQ28,0.423922,2.7181
1999FR19,0.476955,2.2804
1999SF10,0.252899,1.6015
1999TN13,0.52603,3.1004
1999LJ1,0.308526,2.121
1999GL4,0.603262,3.3967
1999LE6,0.330339,2.1859
1999FR5,0.478646,2.7399
1999FN19,0.391341,2.2922
1999SJ10,0.709858,3.6551
1999YD,0.593692,3.9231
1999RP28,0.240476,1.8311
1999BO,0.448377,3.0718
1999DY2,0.464061,2.9861
1999FP19,0.519493,2.9514
1999GR6,0.761193,2.3645
1999VT,0.486214,2.9762
1999HC1,0.504833,3.0617
1999TM13,0.565448,3.8676
1999CG9,0.063673,1.1296
1999EF5,0.428044,3.1803
1999RB32,0.57057,3.8148
1999CQ2,0.380816,2.075
1999TY2,0.607598,3.6499
1999TE5,0.483545,3.3238
1999TA5,0.49179,3.5688
1999TW16,0.735003,2.4706
1999JZ10,0.473156,1.9243
1999LD30,0.622214,4.6341
1999RJ33,0.189328,1.4924
1999VX15,0.604006,4.8058
1999HV1,0.543684,3.9531
1999RA32,0.090284,1.1192
1999SK10,0.441792,2.5434
1999VX25,0.139703,1.0257
1999KL1,0.428429,2.4598
1999XN141,0.622692,4.1
1999LX1,0.725676,2.0072
1999BL33,0.530386,4.1232
1999HX1,0.560868,4.0095
1999RN28,0.454769,3.1539
1999RO36,0.486134,3.5399
1999UQ,0.01586,1.1115
1999RK33,0.582025,3.9287
1999UZ5,0.804033,4.6101
1999XS35,0.947131,34.6135
1999XK136,0.702369,4.0466
1999VU25,0.475109,2.9744
1999VK12,0.77531,3.9587
1999RU2,0.560235,4.3789
1999HW1,0.454548,3.4617
1999TO13,0.434983,2.2679
1999VR6,0.758279,3.8555
1999DJ3,0.32422,2.2215
1999LW1,0.68205,2.4192
1999SH10,0.130532,1.2412
1999TV16,0.410063,2.2251
1999DB2,0.611604,4.8932
1999SE10,0.618562,5.204
1999VV25,0.556549,3.4633
1999AF4,0.61313,4.5821
1999FQ10,0.489558,2.8902
1999LT1,0.640597,4.9279
1999OQ3,0.424214,2.7017
1999LV7,0.469978,3.247
1999SG10,0.613498,2.3454
1999RZ31,0.601325,4.1413
1999TT16,0.663218,3.5932
1999RM45,0.644141,2.7642
1999TD5,0.531992,3.7707
1999UR,0.50374,2.8555
2000YT134,0.360994,2.2044
2000WG63,0.474902,2.8157
2000WJ107,0.557373,3.0332
2000WM107,0.608621,4.0848
2000OK8,0.220918,1.2022
2000QT7,0.495868,3.4433
2000SU20,0.630541,5.1914
2000QV7,0.522979,2.1459
2000WG10,0.205588,1.4044
2000JZ8,0.231536,1.8141
2000SN10,0.550433,3.8653
2000AG205,0.521663,3.4855
2000UR16,0.438727,1.3015
2000RN12,0.616198,3.7009
2000SG344,0.066958,1.0429
2000YS134,0.22412,1.0479
2000TH1,0.54057,3.559
2000SJ8,0.553407,4.1404
2000RF52,0.542689,3.6054
2000VZ44,0.746149,3.6574
2000RD52,0.444651,3.1831
2000CN33,0.586793,4.1271
2000EM26,0.466693,1.1985
2000QS7,0.666947,4.4534
2000JF5,0.555968,3.1928
2000GW127,0.727468,3.8789
2000YA,0.645791,3.9306
2000WC1,0.26267,1.1105
2000TU28,0.182669,1.269
